id,result_master_id,DDH_name,from_m,to_m,Sample_Length_m,Scan_Length_m,Scan_Recovery_pct,Comp(c/s),Rayl(c/s),LT(secs),Al_pct,Al_2SE_pct,Al_mdl_pct,Si_pct,Si_2SE_pct,Si_mdl_pct,P_ppm,P_2SE_ppm,P_mdl_ppm,S_pct,S_2SE_pct,S_mdl_pct,Cl_ppm,Cl_2SE_ppm,Cl_mdl_ppm,K_pct,K_2SE_pct,K_mdl_pct,Ca_pct,Ca_2SE_pct,Ca_mdl_pct,Ti_ppm,Ti_2SE_ppm,Ti_mdl_ppm,V_ppm,V_2SE_ppm,V_mdl_ppm,Cr_ppm,Cr_2SE_ppm,Cr_mdl_ppm,Mn_ppm,Mn_2SE_ppm,Mn_mdl_ppm,Fe_pct,Fe_2SE_pct,Fe_mdl_pct,Ni_ppm,Ni_2SE_ppm,Ni_mdl_ppm,Cu_pct,Cu_2SE_pct,Cu_mdl_pct,Zn_pct,Zn_2SE_pct,Zn_mdl_pct,Ga_ppm,Ga_2SE_ppm,Ga_mdl_ppm,As_ppm,As_2SE_ppm,As_mdl_ppm,Se_ppm,Se_2SE_ppm,Se_mdl_ppm,Rb_ppm,Rb_2SE_ppm,Rb_mdl_ppm,Sr_ppm,Sr_2SE_ppm,Sr_mdl_ppm,Y_ppm,Y_2SE_ppm,Y_mdl_ppm,Zr_ppm,Zr_2SE_ppm,Zr_mdl_ppm,Nb_ppm,Nb_2SE_ppm,Nb_mdl_ppm,Mo_ppm,Mo_2SE_ppm,Mo_mdl_ppm,Ba_ppm,Ba_2SE_ppm,Ba_mdl_ppm,La_ppm,La_2SE_ppm,La_mdl_ppm,Ce_ppm,Ce_2SE_ppm,Ce_mdl_ppm,Pb_pct,Pb_2SE_pct,Pb_mdl_pct,U_ppm,U_2SE_ppm,U_mdl_ppm,minaloggerlink
69232,38,OOLDEA2,13,14,1,0.2401,24.01,2613.187,715.3073,22.69,2.4882,0.6711,0.8397,22.3157,0.7263,0.2942,0,0,0,0.3293,0.0857,0.0857,0,0,0,2.1815,0.0337,0.0067,1.1516,0.0167,0.0036,4394.9931,77.936,17.3857,101.98,13.27,10.31,41.43,9.57,13.31,997.5006,24.7826,10.8424,4.6119,0.0128,0.0013,33.92,2.65,2.87,0.0047,0.0006,0.0009,0.0069,0.0004,0.0004,16.84,2.33,3.26,0,3.86,5.72,0,0.0003,0.0005,110.82,6.34,7.45,183.08,8.34,6.53,17.9,8.74,12.56,246.13,11.49,12.17,0,8.85,13.49,0,9.9,14.93,564.78,260.39,75.76,144.19,88.37,35.04,87.31,54.9,40.99,0.0029,0.0017,0.0025,22.97,15.03,20.4,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=13.0&toDepth=14.0
69233,38,OOLDEA2,14,15,1,0.4056,40.56,2498.827,653.7424,37.04,5.4625,0.6962,0.5558,23.3913,0.6344,0.2257,0,0,0,1.5906,0.2473,0.0677,0,0,0,2.0354,0.0278,0.0057,4.2996,0.0382,0.0031,3972.9395,65.3464,15.5872,97.18,11.19,9.17,61.02,8.89,11.63,1374.6612,29.4294,9.2935,5.9728,0.0127,0.001,35.88,2.31,2.42,0.0047,0.0005,0.0007,0.006,0.0003,0.0003,20.55,1.95,2.69,0,3.22,4.8,0,0.0003,0.0004,101.26,5.26,6.11,186.29,7.73,5.36,25.48,7.69,10.26,241.73,9.88,9.91,0,7.27,11.02,0,0,0,748.25,221.11,69.75,98.25,69.88,31.75,70.23,45.22,36.78,0.003,0.0014,0.0021,20.18,12.16,16.75,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=14.0&toDepth=15.0
69234,38,OOLDEA2,15,16,1,0.6329,63.29,2869.263,702.2439,47.39,2.9798,0.5095,0.5622,23.6034,0.5939,0.2036,0,0,0,1.065,0.169,0.0604,0,0,0,2.4316,0.03,0.0048,2.5947,0.0242,0.0026,3402.2079,54.5552,13.1892,87.11,9.43,7.79,43.69,7.46,10.09,948.7098,20.9103,8.519,5.0235,0.0103,0.0009,37.76,2.14,2.13,0.0066,0.0005,0.0007,0.0052,0.0003,0.0003,22.75,1.76,2.39,0,2.73,4.18,0,0.0002,0.0004,124.88,5.15,5.35,202.79,7.9,4.71,9.16,6.21,9.04,265.1,9.75,8.75,0,6.34,9.53,0,7.1,10.5,496.97,171.95,56.96,88.25,56.43,26.37,113,36.45,30.9,0.0032,0.0012,0.0019,31.67,10.89,14.7,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=15.0&toDepth=16.0
69235,38,OOLDEA2,16,17,1,0.6143,61.43,2594.439,641.5786,48.72,4.0648,0.5209,0.422,19.1905,0.5057,0.1687,0,0,0,0.0773,0.0377,0.0505,0,0,0,1.8808,0.0243,0.004,1.1856,0.0132,0.0022,2410.0222,40.7665,10.1916,57.86,7.19,6.26,23.88,5.73,8.09,431.3725,11.6169,6.9701,3.2593,0.0076,0.0008,25.37,1.62,1.66,0.004,0.0004,0.0005,0.0035,0.0002,0.0002,16.84,1.38,1.91,0,0,0,0,0.0002,0.0003,104.59,4.3,4.45,158.59,6.25,3.92,0,0,0,200.86,7.75,7.33,0,0,0,0,6,8.82,367.05,136.17,45.81,57.82,45.34,21.19,73.96,29.13,24.85,0.0036,0.001,0.0015,24.23,9.12,12.22,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=16.0&toDepth=17.0
69236,38,OOLDEA2,17,18,1,0.4486,44.86,2578.841,647.0553,43.21,3.482,0.5105,0.4811,15.7049,0.4627,0.1896,0,0,0,0.2257,0.0546,0.0538,0,0,0,2.0808,0.0269,0.0042,0.9481,0.0117,0.0024,1746.3668,33.5724,10.7911,30.69,6.87,6.71,16.87,6.03,8.61,1443.5878,29.4294,6.9701,3.2247,0.0079,0.0008,20.59,1.54,1.78,0.0041,0.0004,0.0005,0.0038,0.0002,0.0003,12.19,1.45,2.04,0,0,0,0,0.0002,0.0003,151.94,5.48,4.86,129.75,5.65,4.31,18.43,6.21,8.3,171.48,7.61,8.09,0,0,0,0,6.6,9.94,618.33,144.62,48.86,0,42.79,22.57,94.63,28.67,26.67,0.0039,0.0011,0.0016,22.88,10.39,13.37,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=17.0&toDepth=18.0
69237,38,OOLDEA2,18,19,1,0.6479,64.79,2549.944,687.7856,54.39,2.7524,0.4666,0.5142,20.7307,0.5221,0.1825,0,0,0,0,0.033,0.0501,0,0,0,1.294,0.0178,0.0042,6.4582,0.0519,0.0024,2971.1616,48.5601,12.5897,48.11,7.83,7.43,27.87,6.63,9.44,1283.2752,26.3315,7.7446,5.3837,0.0105,0.0009,32.81,1.96,2.07,0.007,0.0005,0.0006,0.0079,0.0003,0.0003,21.49,1.7,2.35,4.34,2.73,4.13,0,0.0002,0.0004,97.07,4.62,5.33,163.36,6.69,4.69,0,6.11,9.11,334.54,11.22,8.76,0,6.34,9.61,0,7.2,10.58,140.45,144.95,57.1,95.16,51.15,25.74,79.3,31.95,29.68,0,0.0012,0.0018,32.51,10.56,14.62,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=18.0&toDepth=19.0
69238,38,OOLDEA2,19,20,1,0.4459,44.59,1619.456,581.6453,42.13,4.3516,0.6053,0.5303,10.1239,0.375,0.2099,0,0,0,0.1528,0.0441,0.0506,0,0,0,0.6379,0.0113,0.0044,22.7017,0.1717,0.0026,1582.1016,40.7665,21.5823,0,9.91,11.52,0,9.72,14.28,4865.9133,91.3859,11.6169,6.2095,0.0145,0.0013,27.25,2.48,3,0.0027,0.0006,0.0009,0.0064,0.0004,0.0004,5.59,2.26,3.36,0,0,0,0,0.0003,0.0005,88.59,6.01,7.65,100.4,6.08,6.71,14.32,8.85,12.83,54.62,8.55,12.35,0,8.85,13.41,0,9.7,14.67,142.54,154.83,96.77,0,56.37,41.75,151.66,38.66,47.27,0,0.0017,0.0026,0,14.86,20.93,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=19.0&toDepth=20.0
69239,38,OOLDEA2,20,21,1,0.472,47.2,1351.198,465.2034,46.54,4.0281,0.5515,0.4683,13.9024,0.4327,0.1862,0,0,0,0,0.0332,0.0499,0,0,0,0.985,0.0152,0.0044,4.6601,0.0391,0.0024,1906.4354,36.57,13.1892,0,7.19,7.88,33.75,7.16,9.86,4489.5272,82.0924,8.519,12.216,0.0194,0.001,16.74,1.96,2.52,0.0075,0.0006,0.0007,0.0045,0.0003,0.0003,6.98,1.82,2.7,0,3.06,4.78,0,0.0003,0.0004,83.65,5.05,6.04,95.62,5.21,5.27,15.27,7.06,10.01,83.34,7.08,9.66,0,6.99,10.6,0,7.6,11.56,0,121.25,59.47,88.79,43.64,26.82,153.26,28.06,31.19,0,0.0014,0.0021,23.22,11.99,16.51,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=20.0&toDepth=21.0
69240,38,OOLDEA2,21,22,1,0.2834,28.34,1935.464,581.9381,26.58,3.4619,0.6499,0.6909,20.4947,0.6601,0.2554,0,0,0,0.148,0.0579,0.0716,0,0,0,2.851,0.0385,0.006,1.1573,0.0157,0.0035,2229.5703,46.7616,16.7862,32.61,10.07,10.13,0,8.96,12.96,4223.8885,80.5435,10.8424,7.8669,0.0167,0.0012,17.94,2.22,2.88,0.0038,0.0006,0.0009,0.0049,0.0003,0.0004,11.56,2.2,3.2,0,3.7,5.63,0,0.0003,0.0005,199.73,7.95,7.19,105.87,6.08,6.28,0,8.42,11.98,136.89,9.21,11.56,0,0,0,0,9.2,13.44,853.26,205.09,75.12,0,62.13,34.63,163.48,41.78,40.68,0,0.0016,0.0025,21.11,15.79,19.65,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=21.0&toDepth=22.0
69241,38,OOLDEA2,22,23,1,0.6055,60.55,1981.281,563.2504,52.27,4.3993,0.5475,0.4179,15.3522,0.4412,0.1714,0,0,0,0.9837,0.1545,0.0476,0,0,0,2.6893,0.0315,0.0041,1.5217,0.0157,0.0024,1833.895,32.9729,11.3907,33.25,7.03,6.78,16.42,6.1,8.62,1332.8405,27.106,6.9701,6.2838,0.0115,0.0008,16.57,1.54,1.95,0.0044,0.0004,0.0006,0.0046,0.0002,0.0003,11.12,1.51,2.17,0,2.57,3.75,0,0.0002,0.0003,244.83,7.52,4.94,103.61,4.86,4.36,0,0,0,101.77,6.41,8.08,0,5.87,8.8,0,0,0,859.41,164.05,49.46,37.28,41.28,22.76,138.39,28.59,27.03,0.0034,0.0011,0.0017,22.38,11.4,13.57,https://minalogger.com/viewer/?project=WESTERN SA STRATIGRAPHY&hole=OOLDEA2&fromDepth=22.0&toDepth=23.0
